"","Group.1","Group.2","carat","depth","table","price","x","y","z"
"1","","",0.474011244,61.74940489,57.45718391,3932.799722,5.731157212,5.734525955,3.538733778
"2","Fair","D",0.920122699386503,64.0484662576687,58.9693251533742,4291.06134969325,6.01834355828221,5.96319018404908,3.8398773006135
"3","Good","D",0.744516616314199,62.3657099697885,58.5415407854985,3405.38217522659,5.62007552870091,5.63389728096677,3.50486404833837
"4","Ideal","D",0.56576570218772,61.6783697953423,55.9656316160903,2629.09456598447,5.18670430486944,5.19622441778405,3.20179957657022
"5","Premium","D",0.721547099189021,61.169245165315,58.7189644416719,3631.29257641921,5.59986899563319,5.57147223955084,3.41592638802246
"6","Very Good","D",0.696424322538004,61.7501652346332,58.0413086582948,3470.46728354263,5.50120951751487,5.53161269001983,3.40508922670192
"7","Fair","E",0.856607142857143,63.3196428571429,59.3647321428571,3682.3125,5.9090625,5.85821428571429,3.72214285714286
"8","Good","E",0.74513397642015,62.2037513397642,58.7799571275456,3423.64415862808,5.61788853161844,5.63245444801715,3.49606645230439
"9","Ideal","E",0.578401229823213,61.6866769151934,55.9674609274917,2597.55008967461,5.21576223417884,5.23221368178324,3.22034588777863
"10","Premium","E",0.717744972186564,61.1759092854086,58.7794608472401,3538.91442019683,5.58711596063329,5.55835258878905,3.40887462558836
"11","Very Good","E",0.676316666666667,61.73025,58.038875,3214.65208333333,5.43246666666667,5.4632125,3.37399583333333
"12","Fair","F",0.904711538461539,63.5080128205128,59.4532051282051,3827.00320512821,5.99051282051282,5.9311217948718,3.78782051282051
"13","Good","F",0.775929592959296,62.2023102310231,58.9108910891089,3495.7502750275,5.69344334433443,5.70965896589659,3.54460946094609
"14","Ideal","F",0.655828541557763,61.6755619445897,55.9242028227914,3374.93936225823,5.40875065342394,5.42225039205436,3.33873235755358
"15","Premium","F",0.827035607035607,61.2599742599743,58.6792792792793,4324.89017589018,5.87669240669241,5.84465465465465,3.58839124839125
"16","Very Good","F",0.740961182994455,61.7216266173752,57.8484288354898,3778.82024029575,5.61050369685767,5.64271719038817,3.47290203327172
"17","Fair","G",1.02382165605096,64.3398089171975,58.7732484076433,4239.25477707006,6.17382165605096,6.11407643312102,3.96315286624204
"18","Good","G",0.85089552238806,62.5266360505167,58.4719862227325,4123.4822043628,5.85026406429392,5.86282433983926,3.64792192881745
"19","Ideal","G",0.700714578214578,61.7001638001638,55.9023751023751,3720.70638820639,5.51121416871417,5.52400696150696,3.40312039312039
"20","Premium","G",0.841487688098495,61.2794801641587,58.7023597811217,4500.74213406293,5.86425444596443,5.83334473324213,3.57964090287278
"21","Very Good","G",0.766798608090474,61.8412788168769,57.7844280121792,3872.75380600261,5.66020443671161,5.68875163114398,3.50988255763375
"22","Fair","H",1.21917491749175,64.5851485148515,58.6963696369637,5135.68316831683,6.57937293729373,6.49739273927393,4.21937293729373
"23","Good","H",0.914729344729345,62.4995726495726,58.6111111111111,4276.25498575499,5.96878917378917,5.97424501424501,3.72693732193732
"24","Ideal","H",0.799524879614767,61.7331942215088,55.9658426966292,3889.33483146067,5.7313772070626,5.74044622792937,3.5399165329053
"25","Premium","H",1.01644915254237,61.3220338983051,58.7920338983051,5216.70677966102,6.24450847457627,6.22811016949153,3.81169915254237
"26","Very Good","H",0.915948464912281,61.9683662280702,57.9030153508772,4535.39035087719,5.98228618421053,6.00627192982456,3.71384868421053
"27","Fair","I",1.19805714285714,64.2205714285714,59.2371428571429,4685.44571428571,6.56445714285714,6.49348571428571,4.19348571428571
"28","Good","I",1.05722222222222,62.4750957854406,58.7739463601533,5078.53256704981,6.25354406130268,6.26053639846743,3.90151340996169
"29","Ideal","I",0.913029144768275,61.7935977066412,56.0213569039656,4451.97037744864,5.97619684663163,5.98947921643574,3.69526994744386
"30","Premium","I",1.14493697478992,61.3286414565826,58.7718487394958,5946.18067226891,6.48953081232493,6.45327030812325,3.96389355742297
"31","Very Good","I",1.04695182724252,61.9345514950166,58.1051495016611,5255.87956810631,6.27225913621262,6.29902823920266,3.89097176079734
"32","Fair","J",1.34117647058824,64.3571428571429,58.9176470588235,4975.65546218487,6.74731092436975,6.67588235294118,4.31966386554622
"33","Good","J",1.09954397394137,62.3957654723127,58.8130293159609,4574.17263843648,6.37700325732899,6.38602605863192,3.97745928338762
"34","Ideal","J",1.06359375,61.8219866071429,56.0126116071429,4918.18638392857,6.32004464285714,6.33209821428571,3.91275669642857
"35","Premium","J",1.29309405940594,61.390099009901,58.8747524752475,6294.59158415842,6.80997524752475,6.77064356435644,4.1680198019802
"36","Very Good","J",1.13321533923304,61.9020648967552,58.2777286135693,5103.51327433628,6.46078171091445,6.49507374631268,4.00687315634218
