Word,Freq
their,2847
would,2266
about,2223
there,2145
which,2066
other,1715
could,1528
these,1406
first,1304
after,1166
years,1120
where,998
those,905
world,859
while,791
still,758
three,719
state,697
women,685
right,677
might,643
never,627
being,625
going,600
think,588
every,570
under,562
since,554
house,533
white,519
found,515
again,512
place,480
black,471
human,439
woman,439
asked,432
often,423
later,413
small,413
among,412
great,411
early,410
water,406
times,375
point,373
night,362
until,362
group,360
young,358
thing,351
power,350
study,332
least,323
along,313
based,313
court,313
given,306
story,303
using,293
began,291
sense,286
money,282
today,282
known,280
class,269
local,269
front,268
light,263
doing,261
large,259
words,259
hands,256
party,245
whose,242
death,239
level,238
close,233
means,229
child,226
clear,226
major,225
table,224
voice,223
heart,222
maybe,221
order,221
north,219
focus,210
space,210
books,209
short,208
moved,207
seems,206
heard,204
doesn,202
makes,202
taken,200
leave,197
wrote,197
start,195
terms,193
third,193
tried,193
hours,192
above,189
alone,188
south,188
whole,188
glass,187
model,186
sound,186
floor,179
issue,179
price,179
lives,178
cases,176
truth,176
lived,175
blood,173
comes,166
field,161
green,160
value,159
weeks,159
chief,158
needs,156
stage,156
paper,155
quite,155
music,154
stood,154
board,152
sales,151
shall,151
forms,149
month,146
range,146
phone,145
force,144
seven,144
cause,143
trade,143
eight,141
lower,141
staff,141
style,141
bring,140
david,140
offer,138
spent,138
rules,133
girls,132
legal,131
moral,131
piece,131
lines,129
works,129
costs,128
rates,128
takes,128
ideas,127
cells,124
brown,123
begin,122
total,122
calls,121
dance,121
below,120
share,120
added,118
final,117
press,117
civil,116
ready,115
river,115
shows,115
wrong,115
meant,114
named,114
stand,113
learn,111
smile,110
union,110
write,109
built,108
miles,108
happy,106
sweet,106
adult,105
fully,105
notes,105
mouth,104
drive,103
judge,103
movie,103
peace,103
plans,103
shown,103
fight,102
break,101
faith,101
image,101
reach,101
texas,101
build,100
wants,100
earth,99
speak,99
horse,98
labor,98
loved,98
areas,97
basic,97
allow,96
color,94
knows,94
watch,94
media,93
plant,93
basis,92
march,92
check,91
james,91
trees,91
april,90
hotel,90
liked,90
looks,90
store,90
brain,89
event,89
noted,89
speed,88
argue,87
empty,87
sleep,87
moses,86
worth,86
doubt,85
steps,85
title,85
enter,84
fresh,84
pages,84
avoid,83
serve,83
worse,83
claim,82
henry,82
plate,82
shook,82
block,81
older,81
china,79
heavy,79
sorry,79
cross,78
equal,78
grown,78
spend,78
stone,78
carry,77
chair,77
frank,77
broad,76
parts,76
agent,75
daily,75
names,75
round,75
trial,75
chest,74
virus,74
clean,73
cover,73
grace,73
shift,73
spoke,73
turns,73
ahead,72
novel,72
prior,72
shape,72
sites,72
trust,72
grade,71
types,71
ended,70
forty,70
grant,70
radio,70
steel,70
truck,70
index,69
quick,69
scene,69
shirt,69
taxes,69
exist,68
items,68
plays,68
beach,67
drawn,67
haven,67
signs,67
texts,67
train,67
goals,66
leads,66
queen,66
tears,66
agree,65
birth,65
crowd,65
FALSE,65
thank,65
truly,65
apart,64
touch,64
walls,63
abuse,62
begun,62
dream,62
extra,62
harry,62
ideal,62
coach,61
gives,61
guard,61
metal,61
shoes,61
sides,61
track,61
twice,61
upper,61
worry,61
zones,61
dozen,60
fifty,60
guess,60
thick,60
armed,59
broke,59
coast,59
doors,59
marie,59
stock,59
weren,59
alive,58
casey,58
drink,58
essay,58
guide,58
scale,58
sight,58
tight,58
welsh,58
brief,57
kinds,57
motor,57
raise,57
visit,57
dress,56
favor,56
grand,56
moves,56
apply,55
aside,55
homes,55
knees,55
naked,55
occur,55
prove,55
qaeda,55
risks,55
teeth,55
trail,55
aware,54
iraqi,54
quiet,54
route,54
uncle,54
faced,53
facts,53
games,53
goods,53
lucky,53
mayor,53
proud,53
royal,53
clock,52
enemy,52
heads,52
lunch,52
sharp,52
views,52
youth,52
bible,51
chain,51
joint,51
louis,51
owner,51
ratio,51
shoot,51
stuff,51
video,51
faces,50
logic,50
tells,50
tools,50
urban,50
usual,50
angry,49
cried,49
gross,49
ought,49
owned,49
roots,49
solid,49
taste,49
threw,49
worst,49
bound,48
fewer,48
forth,48
holds,48
laugh,48
plane,48
roles,48
smell,48
teach,48
baker,47
catch,47
lacey,47
latin,47
limit,47
rural,47
syria,47
drove,46
dying,46
loose,46
rooms,46
simon,46
stuck,46
gains,45
helps,45
steve,45
tough,45
wheel,45
adams,44
cliff,44
count,44
crime,44
dirty,44
eager,44
eddie,44
feels,44
funds,44
hence,44
inner,44
nolan,44
pride,44
trend,44
burst,43
creek,43
laden,43
mitch,43
panel,43
rezko,43
smoke,43
topic,43
drugs,42
entry,42
giant,42
honor,42
hoped,42
lying,42
prime,42
stick,42
throw,42
tired,42
trace,42
woods,42
cards,41
folks,41
india,41
mixed,41
phase,41
wales,41
greek,40
nurse,40
plain,40
asian,39
burke,39
chose,39
finds,39
fired,39
grass,39
magic,39
smart,39
split,39
yards,39
bills,38
boots,38
films,38
knife,38
newly,38
noise,38
peter,38
seats,38
tests,38
treat,38
waste,38
birds,37
chart,37
enjoy,37
fifth,37
funny,37
jesus,37
lloyd,37
marks,37
match,37
miami,37
paint,37
panic,37
paris,37
prize,37
rapid,37
brand,36
crazy,36
cream,36
drama,36
files,36
likes,36
lobby,36
oscar,36
poems,36
sarah,36
saved,36
scott,36
stars,36
allen,35
fecal,35
fixed,35
saudi,35
scope,35
teams,35
bonds,34
cheek,34
davis,34
exact,34
freud,34
genes,34
hired,34
jones,34
keeps,34
loves,34
marry,34
ocean,34
refer,34
rough,34
theme,34
vital,34
bands,33
cited,33
egypt,33
hills,33
posed,33
print,33
spell,33
units,33
whale,33
cheap,32
dylan,32
frame,32
islam,32
jeans,32
korea,32
lutie,32
proof,32
shear,32
sixty,32
super,32
usaid,32
annie,31
billy,31
cable,31
depth,31
fluid,31
spain,31
sweat,31
zizek,31
acres,30
anger,30
helen,30
hopes,30
irish,30
lined,30
peers,30
pilot,30
porch,30
shake,30
stare,30
admit,29
banks,29
blond,29
cabin,29
draft,29
elias,29
emily,29
fault,29
jared,29
lands,29
maria,29
midst,29
molly,29
moore,29
opens,29
pairs,29
photo,29
polls,29
ports,29
ruled,29
shame,29
shore,29
sized,29
smith,29
waved,29
alarm,28
apple,28
award,28
bones,28
chefs,28
choke,28
cuban,28
epact,28
layer,28
loans,28
lovey,28
minds,28
realm,28
roads,28
spots,28
storm,28
sugar,28
tales,28
wound,28
yours,28
badly,27
beard,27
bears,27
error,27
falls,27
filed,27
humor,27
kathy,27
loads,27
lover,27
madox,27
races,27
rocks,27
scent,27
ships,27
sizes,27
skill,27
slept,27
acted,26
blake,26
blame,26
canon,26
chase,26
dates,26
flesh,26
outer,26
pants,26
plato,26
seeks,26
shock,26
snake,26
songs,26
spite,26
awful,25
beech,25
cargo,25
couch,25
crack,25
crash,25
cruel,25
deals,25
fears,25
fires,25
foods,25
fruit,25
habit,25
italy,25
mount,25
quote,25
ridge,25
santa,25
shell,25
shops,25
silly,25
swept,25
talks,25
tanks,25
clubs,24
comic,24
cycle,24
delay,24
globe,24
grows,24
heels,24
hello,24
japan,24
marfa,24
pound,24
rider,24
sorts,24
strip,24
towns,24
users,24
vocal,24
waves,24
actor,23
arena,23
bruce,23
candy,23
cloth,23
daddy,23
drift,23
dutch,23
farms,23
grave,23
harsh,23
inter,23
ofheo,23
petry,23
quest,23
rifle,23
roman,23
stops,23
trips,23
wings,23
abbey,22
adopt,22
alert,22
audio,22
bunch,22
craft,22
dairy,22
gifts,22
kerry,22
laila,22
logan,22
minor,22
polar,22
sheet,22
shots,22
slide,22
sport,22
stiff,22
swing,22
swung,22
tampa,22
tasks,22
vague,22
voted,22
wages,22
ahmed,21
alice,21
angel,21
array,21
belly,21
blade,21
brick,21
clerk,21
devil,21
elite,21
faded,21
flown,21
input,21
jenny,21
knock,21
lunda,21
myron,21
sandy,21
score,21
silas,21
sixth,21
spine,21
stake,21
waist,21
weird,21
zonal,21
aimed,20
alien,20
anglo,20
arise,20
backs,20
bessi,20
bryan,20
chris,20
civic,20
dared,20
dense,20
dried,20
edges,20
fence,20
flags,20
gates,20
guest,20
hurry,20
lungs,20
meets,20
oddly,20
pluto,20
purse,20
souls,20
stern,20
sword,20
teens,20
tends,20
tower,20
tyler,20
vegas,20
writs,20
album,19
awake,19
boxes,19
bread,19
chill,19
climb,19
delos,19
fuels,19
honey,19
larry,19
lewis,19
lodge,19
piano,19
poses,19
reads,19
roger,19
spike,19
steep,19
teddy,19
thumb,19
tries,19
unity,19
usage,19
votes,19
walks,19
wiped,19
alito,18
ankle,18
artan,18
bitch,18
blank,18
chaos,18
clare,18
corps,18
drops,18
drunk,18
faint,18
julia,18
label,18
poets,18
ralph,18
ranch,18
sheer,18
solve,18
stark,18
steam,18
stool,18
upset,18
valid,18
wagon,18
wines,18
witch,18
aging,17
alike,17
altar,17
alter,17
balls,17
bases,17
beast,17
boost,17
breed,17
brien,17
brush,17
critz,17
eaten,17
elbow,17
fancy,17
genre,17
gonna,17
guilt,17
hated,17
imply,17
jerry,17
katie,17
linda,17
links,17
mouse,17
multi,17
nasty,17
pause,17
picks,17
ranks,17
rebel,17
risen,17
rises,17
risky,17
salon,17
sheep,17
sperm,17
stein,17
suits,17
sunni,17
trick,17
troop,17
viral,17
weary,17
wells,17
wider,17
winds,17
alyss,16
asset,16
blind,16
blown,16
bombs,16
camps,16
craig,16
curse,16
dacko,16
