Word,T1,T2,T3,T4,T5,T6,T7,syllable,Lcount_max,Lcount_1,Lcount_2,Lcount_3,mu,sigma
slump,1,3,23,39,24,9,1,1,1,2,3,0,4.13,1.055035544424926
crank,1,5,23,31,24,14,2,1,1,3,1,1,4.22,1.2048236385463227
gorge,1,3,13,27,30,22,4,2,2,3,0,2,4.64,1.2126005112979295
query,1,4,16,30,30,17,2,2,1,2,2,1,4.43,1.1769027147559818
drink,1,9,35,34,16,5,1,1,1,3,1,1,3.732673267326733,1.0798889666879985
favor ,1,4,15,26,29,21,4,2,1,3,0,2,4.57,1.2510395677195825
abbey,1,2,13,29,31,20,3,2,2,2,3,0,4.606060606060606,1.1531089448751788
tangy,1,4,21,30,24,15,5,2,1,2,2,1,4.37,1.2700787377166818
panic,1,9,35,34,16,5,1,2,1,3,2,0,3.732673267326733,1.0798889666879985
solar,1,9,32,32,18,7,1,2,1,5,0,0,3.82,1.1347246362003427
shire,1,8,32,32,18,8,2,2,1,4,1,0,3.891089108910891,1.176510952674293
proxy,1,2,11,24,31,26,6,2,1,2,2,1,4.821782178217822,1.2137499343146099
point,1,16,37,28,12,4,1,1,1,3,2,0,3.505050505050505,1.1134960629915691
robot,1,8,29,34,20,8,1,2,2,3,2,0,3.910891089108911,1.1353806872455163
prick,1,8,30,33,19,7,1,1,1,2,2,1,3.8686868686868685,1.124982286248554
wince,1,3,17,33,29,15,3,2,1,3,1,1,4.415841584158416,1.1626814921259148
crimp,1,5,28,38,20,7,1,1,1,2,3,0,3.96,1.0669582934679311
knoll,1,1,11,29,33,21,4,1,2,4,0,1,4.71,1.1251222155837117
sugar,1,6,25,34,23,9,1,2,1,3,1,1,4.040404040404041,1.1274283951747452
whack,1,4,22,37,24,10,2,1,1,1,2,2,4.17,1.1229870880824944
mount,1,9,29,33,19,7,1,1,1,2,3,0,3.8585858585858586,1.1371602146309088
perky,1,4,17,30,27,17,4,2,1,2,2,1,4.45,1.2359207094308275
could,1,7,29,35,20,8,1,1,1,2,3,0,3.9306930693069306,1.1192060989523616
wrung,0,2,18,39,27,12,2,1,1,2,1,2,4.35,1.0331989159885913
light,1,10,25,27,19,12,5,1,1,2,2,1,4.101010101010101,1.3669619008157499
those,1,13,34,30,15,6,1,2,1,3,2,0,3.67,1.1493911431710269
moist,3,13,32,29,16,7,1,1,1,3,2,0,3.6633663366336635,1.2289996553808238
shard,1,7,22,28,25,14,4,1,1,3,2,0,4.257425742574258,1.2947224584774277
pleat,1,10,28,31,19,9,2,1,1,3,2,0,3.92,1.222129289396175
aloft,1,4,22,36,25,11,2,2,1,3,1,1,4.198019801980198,1.1346897511174807
skill,1,3,17,33,27,16,3,1,2,4,0,1,4.42,1.176265276202609
elder,1,3,13,24,30,24,5,2,2,4,1,0,4.71,1.243342269851709
frame,1,10,20,24,24,17,3,2,1,3,1,1,4.242424242424242,1.356547229430266
humor,1,5,22,34,25,11,2,2,1,2,3,0,4.18,1.1608617488745159
pause,1,8,26,32,21,10,2,2,1,3,2,0,4.02,1.2081390648431163
ulcer,1,4,18,30,28,16,3,2,1,3,2,0,4.4,1.208304597359457
ultra,1,7,23,34,24,10,1,2,1,3,2,0,4.07,1.1511298797268708
robin,1,6,29,34,21,8,1,2,1,4,1,0,3.96,1.1128342194594842
cynic,1,6,25,33,22,11,2,2,2,2,3,0,4.1,1.1874342087037917
aroma,1,6,25,33,22,11,2,3,2,4,1,0,4.1,1.1874342087037917
caulk,1,4,20,31,26,15,3,1,1,2,2,1,4.34,1.2101239605924679
shake,1,6,16,23,24,21,9,2,1,3,1,1,4.62,1.412657070912824
dodge,1,3,15,29,27,19,7,2,2,2,2,1,4.6138613861386135,1.2740385389021711
swill,1,1,8,19,31,30,10,1,2,4,0,1,5.08,1.2056533498481226
tacit,1,4,21,32,26,14,3,2,2,2,3,0,4.306930693069307,1.2001862417968845
other,1,9,26,30,21,10,2,2,1,3,2,0,4.0,1.2309149097933274
thorn,1,14,38,30,12,4,0,1,1,3,2,0,3.505050505050505,1.038391699062335
trove,1,5,16,24,25,22,8,2,1,3,1,1,4.633663366336633,1.3695614118889312
bloke,1,6,21,32,25,12,2,2,1,3,1,1,4.191919191919192,1.1949114981535447
vivid,1,2,10,29,33,21,4,2,2,2,1,2,4.7,1.1445523142259595
spill,1,5,26,34,22,10,2,1,2,4,1,0,4.09,1.1584040745784694
chant,1,9,33,33,16,7,1,1,1,2,3,0,3.79,1.1251222155837117
choke,1,8,30,36,18,6,1,2,1,2,2,1,3.84,1.09288608738514
rupee,1,2,17,35,30,13,2,2,2,3,2,0,4.38,1.0934349546269315
nasty,1,7,26,31,21,11,2,2,1,3,2,0,4.0606060606060606,1.212878551284212
mourn,1,8,29,34,19,8,1,1,1,3,2,0,3.9,1.1357816691600546
ahead,1,5,20,35,26,12,2,2,2,3,2,0,4.227722772277228,1.1593886073904511
brine,1,9,25,29,22,12,3,2,1,4,1,0,4.089108910891089,1.2827801637593472
cloth,1,8,33,34,17,7,1,1,1,2,3,0,3.8217821782178216,1.1115597782721731
hoard,1,9,30,34,19,7,1,1,1,3,2,0,3.8514851485148514,1.1291470417348846
sweet,1,5,18,31,28,15,2,1,2,3,1,1,4.33,1.1920989891783316
month,1,5,26,37,22,8,1,1,1,2,3,0,4.02,1.0860939185908371
lapse,0,8,31,34,19,7,1,2,1,4,1,0,3.89,1.0853110153315502
watch,1,6,14,18,17,24,20,1,1,1,3,1,4.96,1.5742934923323542
today,1,7,29,35,20,7,1,2,1,2,3,0,3.91,1.1053958566956907
focus,1,4,23,36,24,10,1,2,1,2,2,1,4.1313131313131315,1.0977153928805785
smelt,0,5,19,33,28,13,2,1,1,3,2,0,4.31,1.1286717857729944
tease,1,16,32,30,16,6,1,2,2,4,1,0,3.6470588235294117,1.1769606822320722
